Symbol	Description
EURCZK	EUR / CZK
EURDJF	Euro / Djiboutian Franc
EURDKK	EUR / DKK
EURDKK.A	
EURDKK.S	
EURDOP	Euro / Dominican Peso
EURDZD	EUR / DZD
EUREGP	EUR / EGP
EURETB	EUR / ETB
EURFJD	EUR / FJD
EURGBP	EUR / GBP
EURGBP.1	
EURGBP.2	
EURGBP.A	
EURGBP.B	
EURGBP.C	
EURGBP.D	
EURGBP.E	
EURGBP.G	
EURGBP.H	
EURGBP.J	
EURGBP.K	
EURGBP.M	
EURGBP.N	
EURGBP.O	
EURGBP.Q	
EURGBP.S	
EURGBP.U	
EURGBP.V	
EURGBP.X	
EURGHS	Euro / Ghanaian Cedi
EURGMD	Euro / Gambian Dalasi
EURGNF	Euro / Guinean Franc
EURGTQ	Euro / Guatemalan Quetzal
EURGYD	
EURHKD	EUR / HKD
EURHNL	Euro / Honduran Lempira
EURHTG	Euro / Haitian Gourde
EURHUF	EUR / HUF
EURHUY	
EURIDR	EUR / IDR
EURILS	Euro / Israeli Shekel
EURINR	EUR / INR
EURIQD	Euro / Iraqi Dinar
EURISK	EUR / ISK
EURJMD	Euro / Jamaican Dollar
EURJOD	EUR / JOD
EURJPY	EUR / JPY
EURJPY.A	
EURJPY.O	
EURKES	Euro / Kenyan Shilling
EURKHR	Euro / Cambodian Riel
EURKRW	EUR / KRW
EURKWD	EUR / KWD
EURKYD	Euro / Cayman Islands Dollar
EURKZT	Euro / Kazakh Tenge
EURLAK	Euro / Lao Kip
EURLBP	EUR / LBP
EURLKR	EUR / LKR
EURLRD	
EURLSL	EUR / LSL
EURLYD	Euro / Libyan Dinar
EURMAD	Euro / Moroccan Dirham
EURMDL	Euro / Moldovan Leu
EURMGA	Euro / Malagasy Ariary
EURMKD	EUR / MKD
EURMOP	EUR / MOP
EURMUR	EUR / MUR
EURMVR	EUR / MVR
EURMWK	Euro / Malawian Kwacha
EURMXN	EUR / MXN
EURMYR	Euro / Malaysian Ringgit
EURNAD	Euro / Namibian Dollar
EURNGN	Euro / Nigerian Naira
EURNIO	Euro / Nicaraguan Cordoba
EURNOK	EUR / NOK
EURNOK.1	
EURNOK.2	
EURNOK.A	
EURNOK.B	
EURNOK.C	
EURNOK.D	
EURNOK.E	
EURNOK.G	
EURNOK.H	
EURNOK.J	
EURNOK.K	
EURNOK.M	
EURNOK.N	
EURNOK.Q	
EURNOK.S	
EURNOK.U	
EURNOK.V	
EURNOK.X	
EURNPR	EUR / NPR
EURNZD	EUR / NZD
EURNZD.1	
EURNZD.2	
EURNZD.B	
EURNZD.C	
EURNZD.D	
EURNZD.E	
EURNZD.G	
EURNZD.H	
EURNZD.J	
EURNZD.K	
EURNZD.M	
EURNZD.N	
EURNZD.Q	
EURNZD.S	
EURNZD.U	
EURNZD.V	
EURNZD.X	
EUROMR	EUR / OMR
EURPAB	Euro / Panamanian Balboa
EURPEN	Euro / Peru Sol
EURPGK	EUR / PGK
EURPHP	EUR / PHP
EURPKR	EUR / PKR
EURPLN	EUR / PLN
EURPLN.1	
EURPLN.A	
EURPLN.B	
EURPLN.C	
EURPLN.E	
EURPLN.G	
EURPLN.H	
EURPLN.J	
EURPLN.K	
EURPLN.M	
EURPLN.N	
EURPLN.Q	
EURPLN.S	
EURPLN.U	
EURPLN.V	
EURPLN.X	
EURPYG	Euro / Paraguayan Guarani
EURQAR	Euro / Qatari Riyal
EURRON	Euro / Romanian Leu
EURRON.1	
EURRON.2	
EURRON.A	
EURRON.B	
EURRON.C	
EURRON.D	
EURRON.E	
EURRON.G	
EURRON.H	
EURRON.M	
EURRON.O	
EURRON.U	
EURRSD	EUR / RSD
EURRUB	EUR / RUB
EURRUB.A	
EURRWF	Euro / Rwandan Franc
EURSAR	EUR / SAR
EURSCR	EUR / SCR
EURSDG	Euro / Sudanese Pound
EURSEK	EUR / SEK
EURSEK.2	
EURSEK.A	
EURSEK.B	
EURSEK.C	
EURSEK.D	
EURSEK.E	
EURSEK.G	
EURSEK.H	
EURSEK.M	
EURSEK.S	
EURSGD	EUR / SGD
EURSGD.N	
EURSGD.S	
EURSOS	EUR / SOS
EURSVC	Euro / El Salvador Colon
EURSZL	Euro / Swazi Lilangeni
EURTHB	EUR / THB
EURTJS	Euro / Tajikistani somoni
EURTND	Euro / Tunisian Dinar
EURTRY	EUR / TRY
EURTTD	Euro / Trinidad Dollar
EURTWD	EUR / TWD
EURTZS	Euro / Tanzanian Shilling
EURUAH	Euro / Ukrainian Hryvnia
EURUGX	Euro / Ugandan Shilling
EURUSD	EUR / USD
EURUSD.1	
EURUSD.2	
EURUSD.3	
EURUSD.4	
EURUSD.5	
EURUSD.6	
EURUSD.7	
EURUSD.A	
EURUSD.B	
EURUSD.C	
EURUSD.D	
EURUSD.E	
EURUSD.G	
EURUSD.H	
EURUSD.J	
EURUSD.K	
EURUSD.M	
EURUSD.N	
EURUSD.O	
EURUSD.Q	
EURUSD.S	
EURUSD.U	
EURUSD.V	
EURUSD.X	
EURUSD.Y	
EURUYU	Euro / Uruguayan Peso
EURUZS	EUR / UZS
EURVND	Euro / Vietnamese Dong
EURXAF	Euro / Central African CFA franc
EURXDR	
EURXOF	Euro / West African CFA franc
EURXPF	Euro / French Pacific Franc
EURYER	EUR / YER
EURZAR	EUR / ZAR
EURZMW	
FJDGBP	FJD / GBP
FJDUSD	FJD / USD
GBPAED	British Pound / UAE Dirham
GBPAFN	
GBPALL	GBP / ALL
GBPAMD	
GBPARS	GBP / ARS
GBPAUD	GBP / AUD
